invoice_ref,invoice_date,entity,customer,revenue_category,amount_kes,amount_usd,currency,status
INV/SHL/05255,2025-05-26,SHL,Gulf Foods LLC,Domestic,3310396.37,0.0,KES,Outstanding
INV/SHL/05256,2025-05-12,SHL,Organic Direct Ltd,Domestic,3331106.98,0.0,KES,Paid
INV/SHL/05257,2025-05-13,SHL,Gulf Foods LLC,Export,3839810.89,29765.98,USD,Paid
INV/AQL/05258,2025-05-20,AQL,FreshFish Nairobi,Domestic,2674809.46,0.0,KES,Partial
INV/AQL/05259,2025-05-05,AQL,FreshFish Nairobi,Export,3271516.59,25360.59,USD,Paid
INV/AQL/05260,2025-05-28,AQL,AquaPro Processors,Export,3063438.84,23747.59,USD,Paid
INV/GCL/05261,2025-05-12,GCL,ClimateBridge AG,Carbon Credits,1182321.24,0.0,KES,Partial
INV/GCL/05262,2025-05-02,GCL,CarbonMarket Partners,Carbon Credits,1264874.21,0.0,KES,Paid
INV/GCL/05263,2025-05-12,GCL,Voluntary Carbon Exchange,Carbon Credits,1196160.66,0.0,KES,Partial
INV/GCL/05264,2025-05-30,GCL,Green Invest Fund,Carbon Credits,1307545.89,0.0,KES,Paid
INV/SHL/05265,2025-06-24,SHL,Savanna Domestic Wholesale,Domestic,4453184.32,0.0,KES,Paid
INV/SHL/05266,2025-06-03,SHL,Gulf Foods LLC,Export,3986177.9,30900.6,USD,Partial
INV/SHL/05267,2025-06-09,SHL,Organic Direct Ltd,Domestic,3844907.1,0.0,KES,Outstanding
INV/SHL/05268,2025-06-17,SHL,Organic Direct Ltd,Domestic,4152541.57,0.0,KES,Outstanding
INV/AQL/05269,2025-06-19,AQL,Export Buyers Ltd,Domestic,1158625.42,0.0,KES,Paid
INV/AQL/05270,2025-06-25,AQL,Export Buyers Ltd,Domestic,981074.98,0.0,KES,Outstanding
INV/AQL/05271,2025-06-13,AQL,Hotel Chain East Africa,Domestic,1085399.77,0.0,KES,Paid
INV/AQL/05272,2025-06-25,AQL,Retail Net KE,Domestic,1087574.21,0.0,KES,Outstanding
INV/AQL/05273,2025-06-06,AQL,Retail Net KE,Domestic,1113269.97,0.0,KES,Outstanding
INV/AQL/05274,2025-06-16,AQL,Hotel Chain East Africa,Export,961061.81,7450.09,USD,Paid
INV/AQL/05275,2025-06-04,AQL,Retail Net KE,Domestic,1108895.6,0.0,KES,Partial
INV/GCL/05276,2025-06-27,GCL,ClimateBridge AG,Carbon Credits,1581361.64,12258.62,USD,Partial
INV/GCL/05277,2025-06-10,GCL,ClimateBridge AG,Carbon Credits,1329298.48,0.0,KES,Partial
INV/GCL/05278,2025-06-10,GCL,Voluntary Carbon Exchange,Carbon Credits,1349294.97,10459.65,USD,Paid
INV/GCL/05279,2025-06-02,GCL,Green Invest Fund,Carbon Credits,1602914.14,0.0,KES,Paid
INV/SHL/05280,2025-07-22,SHL,EuroHoney GmbH,Domestic,4040025.8,0.0,KES,Paid
INV/SHL/05281,2025-07-17,SHL,Organic Direct Ltd,Domestic,4747104.35,0.0,KES,Paid
INV/SHL/05282,2025-07-14,SHL,Organic Direct Ltd,Export,4366891.75,33851.87,USD,Outstanding
INV/SHL/05283,2025-07-16,SHL,Gulf Foods LLC,Domestic,4109592.63,0.0,KES,Paid
INV/AQL/05284,2025-07-22,AQL,Export Buyers Ltd,Domestic,1428741.73,0.0,KES,Outstanding
INV/AQL/05285,2025-07-22,AQL,FreshFish Nairobi,Domestic,1294777.72,0.0,KES,Paid
INV/AQL/05286,2025-07-18,AQL,Hotel Chain East Africa,Domestic,1316665.69,0.0,KES,Paid
INV/AQL/05287,2025-07-07,AQL,AquaPro Processors,Domestic,1267675.4,0.0,KES,Paid
INV/AQL/05288,2025-07-25,AQL,Export Buyers Ltd,Domestic,1341268.36,0.0,KES,Partial
INV/GCL/05289,2025-07-15,GCL,Green Invest Fund,Carbon Credits,1029555.22,7981.05,USD,Paid
INV/GCL/05290,2025-07-10,GCL,ESG Holdings Ltd,Carbon Credits,1090722.72,0.0,KES,Outstanding
INV/GCL/05291,2025-07-30,GCL,Voluntary Carbon Exchange,Carbon Credits,1246178.03,0.0,KES,Paid
INV/GCL/05292,2025-07-22,GCL,Green Invest Fund,Carbon Credits,1054986.27,0.0,KES,Outstanding
INV/GCL/05293,2025-07-16,GCL,ESG Holdings Ltd,Carbon Credits,1162130.82,9008.77,USD,Paid
INV/GCL/05294,2025-07-22,GCL,CarbonMarket Partners,Carbon Credits,1073011.09,0.0,KES,Paid
INV/SHL/05295,2025-08-05,SHL,EuroHoney GmbH,Domestic,2473792.17,0.0,KES,Paid
INV/SHL/05296,2025-08-29,SHL,EuroHoney GmbH,Domestic,2115772.47,0.0,KES,Paid
INV/SHL/05297,2025-08-01,SHL,EuroHoney GmbH,Domestic,2583186.01,0.0,KES,Paid
INV/SHL/05298,2025-08-04,SHL,Organic Direct Ltd,Domestic,2295682.74,0.0,KES,Partial
INV/SHL/05299,2025-08-22,SHL,Organic Direct Ltd,Domestic,2174370.97,0.0,KES,Paid
INV/SHL/05300,2025-08-20,SHL,EuroHoney GmbH,Domestic,2083805.33,0.0,KES,Paid
INV/SHL/05301,2025-08-13,SHL,EuroHoney GmbH,Domestic,2137436.55,0.0,KES,Partial
INV/AQL/05302,2025-08-20,AQL,FreshFish Nairobi,Domestic,1483004.72,0.0,KES,Paid
INV/AQL/05303,2025-08-25,AQL,FreshFish Nairobi,Domestic,1418260.01,0.0,KES,Paid
INV/AQL/05304,2025-08-25,AQL,Hotel Chain East Africa,Export,1592503.64,12344.99,USD,Paid
INV/AQL/05305,2025-08-19,AQL,Export Buyers Ltd,Export,1451517.6,11252.07,USD,Paid
INV/AQL/05306,2025-08-21,AQL,Export Buyers Ltd,Domestic,1386984.54,0.0,KES,Partial
INV/GCL/05307,2025-08-05,GCL,CarbonMarket Partners,Carbon Credits,1727232.86,13389.4,USD,Paid
INV/GCL/05308,2025-08-19,GCL,ClimateBridge AG,Carbon Credits,1763372.57,0.0,KES,Partial
INV/GCL/05309,2025-08-01,GCL,ESG Holdings Ltd,Carbon Credits,1545751.3,11982.57,USD,Paid
INV/GCL/05310,2025-08-20,GCL,ClimateBridge AG,Carbon Credits,1545984.07,0.0,KES,Paid
INV/SHL/05311,2025-09-02,SHL,EuroHoney GmbH,Domestic,1745859.39,0.0,KES,Paid
INV/SHL/05312,2025-09-25,SHL,NatureMart UK,Domestic,2075732.38,0.0,KES,Outstanding
INV/SHL/05313,2025-09-03,SHL,Savanna Domestic Wholesale,Export,2041507.85,15825.64,USD,Paid
INV/SHL/05314,2025-09-02,SHL,Organic Direct Ltd,Domestic,1952325.98,0.0,KES,Paid
INV/SHL/05315,2025-09-09,SHL,Savanna Domestic Wholesale,Export,2126537.5,16484.79,USD,Partial
INV/SHL/05316,2025-09-17,SHL,NatureMart UK,Domestic,2108387.36,0.0,KES,Paid
INV/SHL/05317,2025-09-10,SHL,Savanna Domestic Wholesale,Export,2004524.2,15538.95,USD,Partial
INV/AQL/05318,2025-09-05,AQL,AquaPro Processors,Export,1636205.61,12683.76,USD,Paid
INV/AQL/05319,2025-09-16,AQL,AquaPro Processors,Domestic,1397200.84,0.0,KES,Paid
INV/AQL/05320,2025-09-03,AQL,FreshFish Nairobi,Domestic,1363313.93,0.0,KES,Paid
INV/AQL/05321,2025-09-26,AQL,AquaPro Processors,Domestic,1420258.99,0.0,KES,Outstanding
INV/AQL/05322,2025-09-11,AQL,Export Buyers Ltd,Export,1343530.27,10414.96,USD,Outstanding
INV/AQL/05323,2025-09-24,AQL,Retail Net KE,Export,1514579.3,11740.92,USD,Outstanding
INV/GCL/05324,2025-09-30,GCL,CarbonMarket Partners,Carbon Credits,1060593.95,0.0,KES,Outstanding
INV/GCL/05325,2025-09-12,GCL,ClimateBridge AG,Carbon Credits,853864.75,0.0,KES,Paid
INV/GCL/05326,2025-09-05,GCL,ClimateBridge AG,Carbon Credits,872934.12,6766.93,USD,Outstanding
INV/GCL/05327,2025-09-15,GCL,CarbonMarket Partners,Carbon Credits,948986.66,0.0,KES,Paid
INV/GCL/05328,2025-09-12,GCL,ClimateBridge AG,Carbon Credits,1059964.8,8216.78,USD,Outstanding
INV/GCL/05329,2025-09-04,GCL,Green Invest Fund,Carbon Credits,917642.37,0.0,KES,Paid
INV/SHL/05330,2025-10-24,SHL,NatureMart UK,Domestic,3756511.33,0.0,KES,Partial
INV/SHL/05331,2025-10-01,SHL,Organic Direct Ltd,Domestic,3337415.57,0.0,KES,Paid
INV/SHL/05332,2025-10-28,SHL,Savanna Domestic Wholesale,Domestic,3433508.88,0.0,KES,Partial
INV/AQL/05333,2025-10-20,AQL,Retail Net KE,Export,2197845.14,17037.56,USD,Outstanding
INV/AQL/05334,2025-10-24,AQL,FreshFish Nairobi,Domestic,2187684.86,0.0,KES,Paid
INV/AQL/05335,2025-10-30,AQL,AquaPro Processors,Domestic,1734173.25,0.0,KES,Outstanding
INV/AQL/05336,2025-10-14,AQL,Hotel Chain East Africa,Export,2181399.74,16910.08,USD,Paid
INV/AQL/05337,2025-10-08,AQL,Retail Net KE,Export,2033709.13,15765.19,USD,Outstanding
INV/GCL/05338,2025-10-03,GCL,ESG Holdings Ltd,Carbon Credits,1044768.38,8098.98,USD,Paid
INV/GCL/05339,2025-10-29,GCL,Green Invest Fund,Carbon Credits,949572.06,0.0,KES,Outstanding
INV/GCL/05340,2025-10-21,GCL,Voluntary Carbon Exchange,Carbon Credits,963593.32,0.0,KES,Paid
INV/GCL/05341,2025-10-17,GCL,CarbonMarket Partners,Carbon Credits,957430.25,7421.94,USD,Paid
INV/GCL/05342,2025-10-15,GCL,Voluntary Carbon Exchange,Carbon Credits,998445.52,0.0,KES,Outstanding
INV/SHL/05343,2025-11-28,SHL,Gulf Foods LLC,Domestic,1827032.6,0.0,KES,Paid
INV/SHL/05344,2025-11-11,SHL,Savanna Domestic Wholesale,Export,1774387.32,13754.94,USD,Outstanding
INV/SHL/05345,2025-11-19,SHL,Savanna Domestic Wholesale,Export,1907806.37,14789.2,USD,Paid
INV/SHL/05346,2025-11-24,SHL,Savanna Domestic Wholesale,Domestic,2098246.77,0.0,KES,Partial
INV/SHL/05347,2025-11-13,SHL,NatureMart UK,Export,1856889.66,14394.49,USD,Outstanding
INV/AQL/05348,2025-11-11,AQL,FreshFish Nairobi,Domestic,1879089.31,0.0,KES,Partial
INV/AQL/05349,2025-11-26,AQL,AquaPro Processors,Export,2007453.12,15561.65,USD,Paid
INV/AQL/05350,2025-11-11,AQL,Retail Net KE,Domestic,1628175.25,0.0,KES,Outstanding
INV/AQL/05351,2025-11-05,AQL,Export Buyers Ltd,Domestic,1878729.81,0.0,KES,Outstanding
INV/AQL/05352,2025-11-14,AQL,Retail Net KE,Export,1779646.09,13795.71,USD,Paid
INV/GCL/05353,2025-11-19,GCL,CarbonMarket Partners,Carbon Credits,835855.98,0.0,KES,Paid
INV/GCL/05354,2025-11-24,GCL,ESG Holdings Ltd,Carbon Credits,708492.25,0.0,KES,Partial
INV/GCL/05355,2025-11-20,GCL,ESG Holdings Ltd,Carbon Credits,803504.82,0.0,KES,Partial
INV/GCL/05356,2025-11-18,GCL,ClimateBridge AG,Carbon Credits,830321.41,0.0,KES,Partial
INV/GCL/05357,2025-11-05,GCL,Voluntary Carbon Exchange,Carbon Credits,849951.29,0.0,KES,Paid
INV/SHL/05358,2025-12-26,SHL,Savanna Domestic Wholesale,Export,4241166.83,32877.26,USD,Paid
INV/SHL/05359,2025-12-30,SHL,Organic Direct Ltd,Domestic,4059745.39,0.0,KES,Outstanding
INV/SHL/05360,2025-12-18,SHL,Savanna Domestic Wholesale,Domestic,4177401.06,0.0,KES,Paid
INV/SHL/05361,2025-12-10,SHL,EuroHoney GmbH,Export,4422182.36,34280.48,USD,Partial
INV/AQL/05362,2025-12-25,AQL,AquaPro Processors,Domestic,1191280.0,0.0,KES,Paid
INV/AQL/05363,2025-12-19,AQL,Retail Net KE,Domestic,1039400.25,0.0,KES,Partial
INV/AQL/05364,2025-12-01,AQL,AquaPro Processors,Export,1292586.72,10020.05,USD,Outstanding
INV/AQL/05365,2025-12-03,AQL,FreshFish Nairobi,Export,1224712.66,9493.9,USD,Paid
INV/AQL/05366,2025-12-15,AQL,Hotel Chain East Africa,Export,1221054.05,9465.54,USD,Outstanding
INV/AQL/05367,2025-12-16,AQL,Hotel Chain East Africa,Domestic,1091492.67,0.0,KES,Outstanding
INV/AQL/05368,2025-12-31,AQL,FreshFish Nairobi,Domestic,1216098.09,0.0,KES,Outstanding
INV/GCL/05369,2025-12-31,GCL,ClimateBridge AG,Carbon Credits,748437.09,5801.84,USD,Paid
INV/GCL/05370,2025-12-29,GCL,ClimateBridge AG,Carbon Credits,795875.26,0.0,KES,Paid
INV/GCL/05371,2025-12-10,GCL,CarbonMarket Partners,Carbon Credits,695487.23,0.0,KES,Partial
INV/GCL/05372,2025-12-15,GCL,CarbonMarket Partners,Carbon Credits,797094.05,0.0,KES,Partial
INV/GCL/05373,2025-12-10,GCL,ESG Holdings Ltd,Carbon Credits,860051.94,0.0,KES,Outstanding
