bill_ref,bill_date,entity,vendor,expense_category,account_code,account_name,amount_kes,currency,status
BILL/GCL/08227,2024-11-18,GCL,Solar Connect Ltd,Logistics,70000003,Logistics & Transport,288177.37,KES,Outstanding
BILL/GCL/08228,2024-11-29,GCL,Unity Bank,Maintenance,70000004,Repairs & Maintenance,124886.93,KES,Paid
BILL/GCL/08229,2024-11-27,GCL,Frontier Legal,Admin,70000006,Professional Fees,102494.53,KES,Paid
BILL/GCL/08230,2024-11-01,GCL,GreenSeed Nurseries,Admin,70000009,Insurance,77456.66,KES,Paid
BILL/GCL/08231,2024-11-29,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,57367.13,KES,Paid
BILL/SHL/08232,2024-12-04,SHL,TransRoute Logistics,Payroll,70000001,Salaries & Wages,1279665.37,KES,Paid
BILL/SHL/08233,2024-12-03,SHL,Apex Packaging Co,Facilities,70000002,Rent & Utilities,416072.6,KES,Paid
BILL/SHL/08234,2024-12-09,SHL,Apex Packaging Co,Logistics,70000003,Logistics & Transport,760024.98,KES,Outstanding
BILL/SHL/08235,2024-12-18,SHL,SunPower Utilities,Maintenance,70000004,Repairs & Maintenance,307613.67,KES,Paid
BILL/SHL/08236,2024-12-18,SHL,Apex Packaging Co,Admin,70000006,Professional Fees,295738.09,KES,Outstanding
BILL/SHL/08237,2024-12-09,SHL,SunPower Utilities,Admin,70000009,Insurance,186921.9,KES,Paid
BILL/SHL/08238,2024-12-09,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,145135.05,KES,Paid
BILL/AQL/08239,2024-12-20,AQL,LakeView Processing,Payroll,70000001,Salaries & Wages,1103624.4,KES,Paid
BILL/AQL/08240,2024-12-27,AQL,AquaFeed Suppliers,Facilities,70000002,Rent & Utilities,342948.02,KES,Outstanding
BILL/AQL/08241,2024-12-11,AQL,Meridian Accountants,Logistics,70000003,Logistics & Transport,472597.67,KES,Outstanding
BILL/AQL/08242,2024-12-23,AQL,LakeView Processing,Maintenance,70000004,Repairs & Maintenance,239841.21,KES,Paid
BILL/AQL/08243,2024-12-23,AQL,Meridian Accountants,Admin,70000006,Professional Fees,189165.38,KES,Paid
BILL/AQL/08244,2024-12-12,AQL,AquaFeed Suppliers,Admin,70000009,Insurance,149161.66,KES,Paid
BILL/AQL/08245,2024-12-19,AQL,ColdChain Express,Admin,70000010,Sundry Expenses,120181.6,KES,Paid
BILL/GCL/08246,2024-12-24,GCL,Unity Bank,Payroll,70000001,Salaries & Wages,557223.47,KES,Paid
BILL/GCL/08247,2024-12-25,GCL,Unity Bank,Facilities,70000002,Rent & Utilities,171786.99,KES,Paid
BILL/GCL/08248,2024-12-17,GCL,Solar Connect Ltd,Logistics,70000003,Logistics & Transport,307406.24,KES,Paid
BILL/GCL/08249,2024-12-23,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,126765.07,KES,Paid
BILL/GCL/08250,2024-12-24,GCL,Frontier Legal,Admin,70000006,Professional Fees,100123.44,KES,Paid
BILL/GCL/08251,2024-12-12,GCL,Solar Connect Ltd,Admin,70000009,Insurance,89501.43,KES,Paid
BILL/GCL/08252,2024-12-16,GCL,GreenSeed Nurseries,Admin,70000010,Sundry Expenses,57207.51,KES,Outstanding
BILL/SHL/08253,2025-01-01,SHL,TransRoute Logistics,Payroll,70000001,Salaries & Wages,1511591.41,KES,Paid
BILL/SHL/08254,2025-01-22,SHL,Apex Packaging Co,Facilities,70000002,Rent & Utilities,508933.82,KES,Outstanding
BILL/SHL/08255,2025-01-27,SHL,Beekeeper Co-op Central,Logistics,70000003,Logistics & Transport,641183.81,KES,Paid
BILL/SHL/08256,2025-01-06,SHL,TransRoute Logistics,Maintenance,70000004,Repairs & Maintenance,277898.51,KES,Paid
BILL/SHL/08257,2025-01-10,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,241829.21,KES,Paid
BILL/SHL/08258,2025-01-02,SHL,Nairobi Legal Partners,Admin,70000009,Insurance,181029.35,KES,Paid
BILL/SHL/08259,2025-01-17,SHL,Nairobi Legal Partners,Admin,70000010,Sundry Expenses,137446.15,KES,Paid
BILL/AQL/08260,2025-01-08,AQL,ColdChain Express,Payroll,70000001,Salaries & Wages,1152822.83,KES,Paid
BILL/AQL/08261,2025-01-15,AQL,Meridian Accountants,Facilities,70000002,Rent & Utilities,311442.61,KES,Outstanding
BILL/AQL/08262,2025-01-16,AQL,Harbour Finance,Logistics,70000003,Logistics & Transport,523180.4,KES,Outstanding
BILL/AQL/08263,2025-01-31,AQL,AquaFeed Suppliers,Maintenance,70000004,Repairs & Maintenance,259656.08,KES,Outstanding
BILL/AQL/08264,2025-01-27,AQL,LakeView Processing,Admin,70000006,Professional Fees,218296.63,KES,Outstanding
BILL/AQL/08265,2025-01-27,AQL,ColdChain Express,Admin,70000009,Insurance,149009.64,KES,Paid
BILL/AQL/08266,2025-01-24,AQL,EastAfrica Power,Admin,70000010,Sundry Expenses,110606.1,KES,Paid
BILL/GCL/08267,2025-01-22,GCL,SurveyTech Africa,Payroll,70000001,Salaries & Wages,626078.88,KES,Paid
BILL/GCL/08268,2025-01-02,GCL,GreenSeed Nurseries,Facilities,70000002,Rent & Utilities,193246.07,KES,Paid
BILL/GCL/08269,2025-01-10,GCL,Frontier Legal,Logistics,70000003,Logistics & Transport,282890.88,KES,Paid
BILL/GCL/08270,2025-01-22,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,116655.42,KES,Paid
BILL/GCL/08271,2025-01-28,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,122391.92,KES,Paid
BILL/GCL/08272,2025-01-15,GCL,SurveyTech Africa,Admin,70000009,Insurance,79035.87,KES,Outstanding
BILL/GCL/08273,2025-01-15,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,59309.4,KES,Paid
BILL/SHL/08274,2025-02-07,SHL,Apex Packaging Co,Payroll,70000001,Salaries & Wages,1398170.68,KES,Outstanding
BILL/SHL/08275,2025-02-07,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,446602.36,KES,Paid
BILL/SHL/08276,2025-02-18,SHL,Nairobi Legal Partners,Logistics,70000003,Logistics & Transport,737768.62,KES,Paid
BILL/SHL/08277,2025-02-19,SHL,Beekeeper Co-op Central,Maintenance,70000004,Repairs & Maintenance,321044.51,KES,Outstanding
BILL/SHL/08278,2025-02-17,SHL,Apex Packaging Co,Admin,70000006,Professional Fees,283192.42,KES,Paid
BILL/SHL/08279,2025-02-07,SHL,Beekeeper Co-op Central,Admin,70000009,Insurance,167703.03,KES,Paid
BILL/SHL/08280,2025-02-20,SHL,ClearBank Ltd,Admin,70000010,Sundry Expenses,148941.3,KES,Outstanding
BILL/AQL/08281,2025-02-17,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,1097065.9,KES,Paid
BILL/AQL/08282,2025-02-26,AQL,Harbour Finance,Facilities,70000002,Rent & Utilities,307842.94,KES,Outstanding
BILL/AQL/08283,2025-02-18,AQL,Meridian Accountants,Logistics,70000003,Logistics & Transport,491909.4,KES,Paid
BILL/AQL/08284,2025-02-27,AQL,Harbour Finance,Maintenance,70000004,Repairs & Maintenance,246492.94,KES,Paid
BILL/AQL/08285,2025-02-14,AQL,EastAfrica Power,Admin,70000006,Professional Fees,185319.98,KES,Outstanding
BILL/AQL/08286,2025-02-14,AQL,Harbour Finance,Admin,70000009,Insurance,146228.79,KES,Paid
BILL/AQL/08287,2025-02-03,AQL,ColdChain Express,Admin,70000010,Sundry Expenses,108071.22,KES,Outstanding
BILL/GCL/08288,2025-02-19,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,536808.66,KES,Outstanding
BILL/GCL/08289,2025-02-10,GCL,GreenSeed Nurseries,Facilities,70000002,Rent & Utilities,180074.56,KES,Outstanding
BILL/GCL/08290,2025-02-28,GCL,EcoMap Consultants,Logistics,70000003,Logistics & Transport,320892.39,KES,Paid
BILL/GCL/08291,2025-02-27,GCL,Unity Bank,Maintenance,70000004,Repairs & Maintenance,137263.22,KES,Paid
BILL/GCL/08292,2025-02-07,GCL,Solar Connect Ltd,Admin,70000006,Professional Fees,124353.42,KES,Paid
BILL/GCL/08293,2025-02-05,GCL,Unity Bank,Admin,70000009,Insurance,79766.8,KES,Paid
BILL/GCL/08294,2025-02-17,GCL,EcoMap Consultants,Admin,70000010,Sundry Expenses,58005.55,KES,Paid
BILL/SHL/08295,2025-03-05,SHL,ClearBank Ltd,Payroll,70000001,Salaries & Wages,1460620.84,KES,Outstanding
BILL/SHL/08296,2025-03-31,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,451007.06,KES,Outstanding
BILL/SHL/08297,2025-03-21,SHL,Beekeeper Co-op Central,Logistics,70000003,Logistics & Transport,740529.66,KES,Paid
BILL/SHL/08298,2025-03-11,SHL,Beekeeper Co-op Central,Maintenance,70000004,Repairs & Maintenance,274676.11,KES,Paid
BILL/SHL/08299,2025-03-05,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,265249.31,KES,Paid
BILL/SHL/08300,2025-03-06,SHL,Beekeeper Co-op Central,Admin,70000009,Insurance,174042.22,KES,Outstanding
BILL/SHL/08301,2025-03-04,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,145604.18,KES,Paid
BILL/AQL/08302,2025-03-20,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,1164776.2,KES,Paid
BILL/AQL/08303,2025-03-24,AQL,EastAfrica Power,Facilities,70000002,Rent & Utilities,345997.03,KES,Paid
BILL/AQL/08304,2025-03-26,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,506451.28,KES,Paid
BILL/AQL/08305,2025-03-24,AQL,AquaFeed Suppliers,Maintenance,70000004,Repairs & Maintenance,226124.44,KES,Outstanding
BILL/AQL/08306,2025-03-12,AQL,Harbour Finance,Admin,70000006,Professional Fees,201024.25,KES,Paid
BILL/AQL/08307,2025-03-05,AQL,EastAfrica Power,Admin,70000009,Insurance,154918.58,KES,Paid
BILL/AQL/08308,2025-03-03,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,126915.64,KES,Paid
BILL/GCL/08309,2025-03-06,GCL,EcoMap Consultants,Payroll,70000001,Salaries & Wages,674442.44,KES,Paid
BILL/GCL/08310,2025-03-10,GCL,EcoMap Consultants,Facilities,70000002,Rent & Utilities,205220.51,KES,Paid
BILL/GCL/08311,2025-03-05,GCL,SurveyTech Africa,Logistics,70000003,Logistics & Transport,275240.92,KES,Outstanding
BILL/GCL/08312,2025-03-17,GCL,GreenSeed Nurseries,Maintenance,70000004,Repairs & Maintenance,133779.5,KES,Outstanding
BILL/GCL/08313,2025-03-24,GCL,Frontier Legal,Admin,70000006,Professional Fees,110322.77,KES,Outstanding
BILL/GCL/08314,2025-03-20,GCL,GreenSeed Nurseries,Admin,70000009,Insurance,75289.68,KES,Outstanding
BILL/GCL/08315,2025-03-28,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,69235.79,KES,Paid
BILL/SHL/08316,2025-04-02,SHL,TransRoute Logistics,Payroll,70000001,Salaries & Wages,1284037.04,KES,Paid
BILL/SHL/08317,2025-04-09,SHL,Beekeeper Co-op Central,Facilities,70000002,Rent & Utilities,499968.83,KES,Paid
BILL/SHL/08318,2025-04-24,SHL,SunPower Utilities,Logistics,70000003,Logistics & Transport,677676.14,KES,Outstanding
BILL/SHL/08319,2025-04-24,SHL,ClearBank Ltd,Maintenance,70000004,Repairs & Maintenance,314010.22,KES,Paid
BILL/SHL/08320,2025-04-14,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,276173.15,KES,Paid
BILL/SHL/08321,2025-04-04,SHL,TransRoute Logistics,Admin,70000009,Insurance,208017.37,KES,Paid
BILL/SHL/08322,2025-04-25,SHL,SunPower Utilities,Admin,70000010,Sundry Expenses,156985.71,KES,Outstanding
BILL/AQL/08323,2025-04-07,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,1132133.15,KES,Paid
BILL/AQL/08324,2025-04-01,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,311806.78,KES,Paid
BILL/AQL/08325,2025-04-14,AQL,AquaFeed Suppliers,Logistics,70000003,Logistics & Transport,524306.16,KES,Outstanding
BILL/AQL/08326,2025-04-28,AQL,Harbour Finance,Maintenance,70000004,Repairs & Maintenance,212521.41,KES,Paid
BILL/AQL/08327,2025-04-04,AQL,ColdChain Express,Admin,70000006,Professional Fees,214567.77,KES,Paid
BILL/AQL/08328,2025-04-08,AQL,ColdChain Express,Admin,70000009,Insurance,145425.32,KES,Outstanding
BILL/AQL/08329,2025-04-03,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,121017.54,KES,Paid
BILL/GCL/08330,2025-04-14,GCL,GreenSeed Nurseries,Payroll,70000001,Salaries & Wages,541120.91,KES,Paid
BILL/GCL/08331,2025-04-22,GCL,Solar Connect Ltd,Facilities,70000002,Rent & Utilities,172867.22,KES,Outstanding
BILL/GCL/08332,2025-04-03,GCL,EcoMap Consultants,Logistics,70000003,Logistics & Transport,302952.27,KES,Outstanding
BILL/GCL/08333,2025-04-17,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,114854.43,KES,Paid
BILL/GCL/08334,2025-04-17,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,100475.38,KES,Paid
BILL/GCL/08335,2025-04-21,GCL,SurveyTech Africa,Admin,70000009,Insurance,70632.48,KES,Paid
BILL/GCL/08336,2025-04-21,GCL,EcoMap Consultants,Admin,70000010,Sundry Expenses,71011.86,KES,Paid
BILL/SHL/08337,2025-05-12,SHL,Beekeeper Co-op Central,Payroll,70000001,Salaries & Wages,1526310.9,KES,Paid
BILL/SHL/08338,2025-05-02,SHL,Nairobi Legal Partners,Facilities,70000002,Rent & Utilities,439939.83,KES,Paid
BILL/SHL/08339,2025-05-30,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,650599.28,KES,Paid
BILL/SHL/08340,2025-05-30,SHL,Apex Packaging Co,Maintenance,70000004,Repairs & Maintenance,293034.35,KES,Paid
BILL/SHL/08341,2025-05-20,SHL,Nairobi Legal Partners,Admin,70000006,Professional Fees,283533.88,KES,Outstanding
BILL/SHL/08342,2025-05-26,SHL,TransRoute Logistics,Admin,70000009,Insurance,197358.5,KES,Paid
BILL/SHL/08343,2025-05-23,SHL,SunPower Utilities,Admin,70000010,Sundry Expenses,140515.93,KES,Paid
BILL/AQL/08344,2025-05-30,AQL,Meridian Accountants,Payroll,70000001,Salaries & Wages,1015808.44,KES,Paid
BILL/AQL/08345,2025-05-12,AQL,Meridian Accountants,Facilities,70000002,Rent & Utilities,314458.0,KES,Paid
BILL/AQL/08346,2025-05-05,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,542082.72,KES,Paid
BILL/AQL/08347,2025-05-02,AQL,Harbour Finance,Maintenance,70000004,Repairs & Maintenance,246720.27,KES,Outstanding
BILL/AQL/08348,2025-05-23,AQL,Meridian Accountants,Admin,70000006,Professional Fees,191553.06,KES,Outstanding
BILL/AQL/08349,2025-05-28,AQL,Harbour Finance,Admin,70000009,Insurance,128328.88,KES,Paid
BILL/AQL/08350,2025-05-21,AQL,AquaFeed Suppliers,Admin,70000010,Sundry Expenses,104367.66,KES,Paid
BILL/GCL/08351,2025-05-09,GCL,SurveyTech Africa,Payroll,70000001,Salaries & Wages,676270.14,KES,Paid
BILL/GCL/08352,2025-05-02,GCL,SurveyTech Africa,Facilities,70000002,Rent & Utilities,182574.1,KES,Paid
BILL/GCL/08353,2025-05-30,GCL,GreenSeed Nurseries,Logistics,70000003,Logistics & Transport,306608.7,KES,Paid
BILL/GCL/08354,2025-05-29,GCL,SurveyTech Africa,Maintenance,70000004,Repairs & Maintenance,131829.66,KES,Paid
BILL/GCL/08355,2025-05-13,GCL,Frontier Legal,Admin,70000006,Professional Fees,108826.54,KES,Paid
BILL/GCL/08356,2025-05-05,GCL,Unity Bank,Admin,70000009,Insurance,74349.2,KES,Paid
BILL/GCL/08357,2025-05-26,GCL,Solar Connect Ltd,Admin,70000010,Sundry Expenses,58184.5,KES,Paid
BILL/SHL/08358,2025-06-16,SHL,Nairobi Legal Partners,Payroll,70000001,Salaries & Wages,1483858.89,KES,Paid
BILL/SHL/08359,2025-06-20,SHL,Nairobi Legal Partners,Facilities,70000002,Rent & Utilities,486055.92,KES,Paid
BILL/SHL/08360,2025-06-27,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,707623.32,KES,Outstanding
BILL/SHL/08361,2025-06-19,SHL,Nairobi Legal Partners,Maintenance,70000004,Repairs & Maintenance,306210.84,KES,Paid
BILL/SHL/08362,2025-06-06,SHL,SunPower Utilities,Admin,70000006,Professional Fees,236758.17,KES,Paid
BILL/SHL/08363,2025-06-26,SHL,Nairobi Legal Partners,Admin,70000009,Insurance,211363.09,KES,Outstanding
BILL/SHL/08364,2025-06-05,SHL,Apex Packaging Co,Admin,70000010,Sundry Expenses,162897.09,KES,Outstanding
BILL/AQL/08365,2025-06-13,AQL,AquaFeed Suppliers,Payroll,70000001,Salaries & Wages,1047205.57,KES,Outstanding
BILL/AQL/08366,2025-06-19,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,388087.12,KES,Paid
BILL/AQL/08367,2025-06-30,AQL,EastAfrica Power,Logistics,70000003,Logistics & Transport,534763.73,KES,Paid
BILL/AQL/08368,2025-06-27,AQL,Meridian Accountants,Maintenance,70000004,Repairs & Maintenance,236589.29,KES,Paid
BILL/AQL/08369,2025-06-09,AQL,AquaFeed Suppliers,Admin,70000006,Professional Fees,215086.13,KES,Paid
BILL/AQL/08370,2025-06-06,AQL,EastAfrica Power,Admin,70000009,Insurance,155849.59,KES,Outstanding
BILL/AQL/08371,2025-06-18,AQL,Meridian Accountants,Admin,70000010,Sundry Expenses,120356.36,KES,Paid
BILL/GCL/08372,2025-06-16,GCL,Solar Connect Ltd,Payroll,70000001,Salaries & Wages,553731.73,KES,Outstanding
BILL/GCL/08373,2025-06-03,GCL,SurveyTech Africa,Facilities,70000002,Rent & Utilities,184547.37,KES,Outstanding
BILL/GCL/08374,2025-06-12,GCL,Solar Connect Ltd,Logistics,70000003,Logistics & Transport,317589.14,KES,Paid
BILL/GCL/08375,2025-06-16,GCL,GreenSeed Nurseries,Maintenance,70000004,Repairs & Maintenance,119540.19,KES,Paid
BILL/GCL/08376,2025-06-12,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,108563.85,KES,Paid
BILL/GCL/08377,2025-06-05,GCL,Unity Bank,Admin,70000009,Insurance,78695.88,KES,Paid
BILL/GCL/08378,2025-06-13,GCL,SurveyTech Africa,Admin,70000010,Sundry Expenses,63069.26,KES,Outstanding
BILL/SHL/08379,2025-07-15,SHL,SunPower Utilities,Payroll,70000001,Salaries & Wages,1483140.34,KES,Paid
BILL/SHL/08380,2025-07-18,SHL,ClearBank Ltd,Facilities,70000002,Rent & Utilities,504490.22,KES,Outstanding
BILL/SHL/08381,2025-07-03,SHL,ClearBank Ltd,Logistics,70000003,Logistics & Transport,641432.12,KES,Paid
BILL/SHL/08382,2025-07-09,SHL,SunPower Utilities,Maintenance,70000004,Repairs & Maintenance,276384.74,KES,Paid
BILL/SHL/08383,2025-07-22,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,246686.52,KES,Outstanding
BILL/SHL/08384,2025-07-02,SHL,Beekeeper Co-op Central,Admin,70000009,Insurance,207643.78,KES,Outstanding
BILL/SHL/08385,2025-07-03,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,157319.18,KES,Paid
BILL/AQL/08386,2025-07-23,AQL,Harbour Finance,Payroll,70000001,Salaries & Wages,1045376.63,KES,Paid
BILL/AQL/08387,2025-07-23,AQL,ColdChain Express,Facilities,70000002,Rent & Utilities,374387.89,KES,Outstanding
BILL/AQL/08388,2025-07-08,AQL,AquaFeed Suppliers,Logistics,70000003,Logistics & Transport,567272.43,KES,Paid
BILL/AQL/08389,2025-07-02,AQL,ColdChain Express,Maintenance,70000004,Repairs & Maintenance,251293.92,KES,Paid
BILL/AQL/08390,2025-07-21,AQL,AquaFeed Suppliers,Admin,70000006,Professional Fees,223410.1,KES,Paid
BILL/AQL/08391,2025-07-31,AQL,LakeView Processing,Admin,70000009,Insurance,136377.99,KES,Paid
BILL/AQL/08392,2025-07-16,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,123100.37,KES,Paid
BILL/GCL/08393,2025-07-17,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,602241.92,KES,Outstanding
BILL/GCL/08394,2025-07-30,GCL,GreenSeed Nurseries,Facilities,70000002,Rent & Utilities,207759.29,KES,Paid
BILL/GCL/08395,2025-07-16,GCL,SurveyTech Africa,Logistics,70000003,Logistics & Transport,303793.28,KES,Paid
BILL/GCL/08396,2025-07-21,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,136492.47,KES,Paid
BILL/GCL/08397,2025-07-25,GCL,Solar Connect Ltd,Admin,70000006,Professional Fees,116197.63,KES,Outstanding
BILL/GCL/08398,2025-07-16,GCL,EcoMap Consultants,Admin,70000009,Insurance,73806.63,KES,Paid
BILL/GCL/08399,2025-07-31,GCL,EcoMap Consultants,Admin,70000010,Sundry Expenses,64691.61,KES,Paid
BILL/SHL/08400,2025-08-01,SHL,Beekeeper Co-op Central,Payroll,70000001,Salaries & Wages,1611967.14,KES,Paid
BILL/SHL/08401,2025-08-08,SHL,Apex Packaging Co,Facilities,70000002,Rent & Utilities,503867.75,KES,Outstanding
BILL/SHL/08402,2025-08-12,SHL,TransRoute Logistics,Logistics,70000003,Logistics & Transport,609007.4,KES,Outstanding
BILL/SHL/08403,2025-08-11,SHL,TransRoute Logistics,Maintenance,70000004,Repairs & Maintenance,279544.89,KES,Paid
BILL/SHL/08404,2025-08-20,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,242489.56,KES,Outstanding
BILL/SHL/08405,2025-08-01,SHL,Apex Packaging Co,Admin,70000009,Insurance,200304.68,KES,Paid
BILL/SHL/08406,2025-08-29,SHL,TransRoute Logistics,Admin,70000010,Sundry Expenses,163592.81,KES,Paid
BILL/AQL/08407,2025-08-01,AQL,Meridian Accountants,Payroll,70000001,Salaries & Wages,1026229.49,KES,Paid
BILL/AQL/08408,2025-08-28,AQL,LakeView Processing,Facilities,70000002,Rent & Utilities,348488.82,KES,Paid
BILL/AQL/08409,2025-08-29,AQL,Harbour Finance,Logistics,70000003,Logistics & Transport,564683.28,KES,Paid
BILL/AQL/08410,2025-08-19,AQL,EastAfrica Power,Maintenance,70000004,Repairs & Maintenance,244962.39,KES,Paid
BILL/AQL/08411,2025-08-13,AQL,EastAfrica Power,Admin,70000006,Professional Fees,205057.8,KES,Paid
BILL/AQL/08412,2025-08-14,AQL,EastAfrica Power,Admin,70000009,Insurance,148144.1,KES,Outstanding
BILL/AQL/08413,2025-08-28,AQL,Meridian Accountants,Admin,70000010,Sundry Expenses,116232.76,KES,Paid
BILL/GCL/08414,2025-08-06,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,578458.27,KES,Paid
BILL/GCL/08415,2025-08-18,GCL,Frontier Legal,Facilities,70000002,Rent & Utilities,194996.21,KES,Outstanding
BILL/GCL/08416,2025-08-28,GCL,Unity Bank,Logistics,70000003,Logistics & Transport,301055.75,KES,Outstanding
BILL/GCL/08417,2025-08-14,GCL,EcoMap Consultants,Maintenance,70000004,Repairs & Maintenance,139468.48,KES,Outstanding
BILL/GCL/08418,2025-08-22,GCL,GreenSeed Nurseries,Admin,70000006,Professional Fees,115663.51,KES,Paid
BILL/GCL/08419,2025-08-13,GCL,EcoMap Consultants,Admin,70000009,Insurance,85013.53,KES,Outstanding
BILL/GCL/08420,2025-08-13,GCL,EcoMap Consultants,Admin,70000010,Sundry Expenses,58778.7,KES,Paid
BILL/SHL/08421,2025-09-29,SHL,ClearBank Ltd,Payroll,70000001,Salaries & Wages,1430677.36,KES,Paid
BILL/SHL/08422,2025-09-05,SHL,TransRoute Logistics,Facilities,70000002,Rent & Utilities,402301.25,KES,Outstanding
BILL/SHL/08423,2025-09-02,SHL,TransRoute Logistics,Logistics,70000003,Logistics & Transport,642414.8,KES,Outstanding
BILL/SHL/08424,2025-09-30,SHL,SunPower Utilities,Maintenance,70000004,Repairs & Maintenance,320522.65,KES,Paid
BILL/SHL/08425,2025-09-05,SHL,ClearBank Ltd,Admin,70000006,Professional Fees,297397.15,KES,Outstanding
BILL/SHL/08426,2025-09-29,SHL,Apex Packaging Co,Admin,70000009,Insurance,171722.52,KES,Paid
BILL/SHL/08427,2025-09-11,SHL,Beekeeper Co-op Central,Admin,70000010,Sundry Expenses,148406.51,KES,Paid
BILL/AQL/08428,2025-09-17,AQL,EastAfrica Power,Payroll,70000001,Salaries & Wages,1181362.77,KES,Outstanding
BILL/AQL/08429,2025-09-25,AQL,AquaFeed Suppliers,Facilities,70000002,Rent & Utilities,323281.06,KES,Outstanding
BILL/AQL/08430,2025-09-09,AQL,Meridian Accountants,Logistics,70000003,Logistics & Transport,528901.04,KES,Paid
BILL/AQL/08431,2025-09-10,AQL,Harbour Finance,Maintenance,70000004,Repairs & Maintenance,244977.41,KES,Outstanding
BILL/AQL/08432,2025-09-29,AQL,Meridian Accountants,Admin,70000006,Professional Fees,208650.81,KES,Paid
BILL/AQL/08433,2025-09-16,AQL,Harbour Finance,Admin,70000009,Insurance,134143.26,KES,Outstanding
BILL/AQL/08434,2025-09-08,AQL,LakeView Processing,Admin,70000010,Sundry Expenses,111973.91,KES,Outstanding
BILL/GCL/08435,2025-09-08,GCL,Frontier Legal,Payroll,70000001,Salaries & Wages,649410.9,KES,Paid
BILL/GCL/08436,2025-09-22,GCL,GreenSeed Nurseries,Facilities,70000002,Rent & Utilities,194498.76,KES,Paid
BILL/GCL/08437,2025-09-11,GCL,Unity Bank,Logistics,70000003,Logistics & Transport,253801.47,KES,Outstanding
BILL/GCL/08438,2025-09-08,GCL,Frontier Legal,Maintenance,70000004,Repairs & Maintenance,136017.64,KES,Outstanding
BILL/GCL/08439,2025-09-29,GCL,EcoMap Consultants,Admin,70000006,Professional Fees,99509.17,KES,Paid
BILL/GCL/08440,2025-09-16,GCL,SurveyTech Africa,Admin,70000009,Insurance,84718.09,KES,Paid
BILL/GCL/08441,2025-09-12,GCL,Unity Bank,Admin,70000010,Sundry Expenses,59430.1,KES,Paid
BILL/SHL/08442,2025-10-16,SHL,Beekeeper Co-op Central,Payroll,70000001,Salaries & Wages,1602749.95,KES,Paid
BILL/SHL/08443,2025-10-14,SHL,Nairobi Legal Partners,Facilities,70000002,Rent & Utilities,441547.44,KES,Paid
BILL/SHL/08444,2025-10-22,SHL,Apex Packaging Co,Logistics,70000003,Logistics & Transport,655589.09,KES,Paid
BILL/SHL/08445,2025-10-27,SHL,ClearBank Ltd,Maintenance,70000004,Repairs & Maintenance,278382.87,KES,Outstanding
BILL/SHL/08446,2025-10-03,SHL,Nairobi Legal Partners,Admin,70000006,Professional Fees,253589.77,KES,Paid
BILL/SHL/08447,2025-10-23,SHL,TransRoute Logistics,Admin,70000009,Insurance,207175.27,KES,Paid
BILL/SHL/08448,2025-10-17,SHL,ClearBank Ltd,Admin,70000010,Sundry Expenses,170106.28,KES,Outstanding
BILL/AQL/08449,2025-10-20,AQL,LakeView Processing,Payroll,70000001,Salaries & Wages,1067170.5,KES,Paid
BILL/AQL/08450,2025-10-07,AQL,ColdChain Express,Facilities,70000002,Rent & Utilities,343707.96,KES,Paid
BILL/AQL/08451,2025-10-20,AQL,LakeView Processing,Logistics,70000003,Logistics & Transport,549821.05,KES,Outstanding
BILL/AQL/08452,2025-10-07,AQL,EastAfrica Power,Maintenance,70000004,Repairs & Maintenance,253503.38,KES,Paid
